nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,0g,Saturated Fat,0g,Sodium,204mg,Carbohydrates,12g,Dietary Fiber,4g,Protein,4g,Sugars,2g,Vitamin C,36mg,Calcium,9mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,5mg,Folate,18mcg,Vitamin A - IU,992IU,Cholesterol,0mg,Potassium,93mg,2,61,black beans,pinto,BUSHâ€™SÂ® beans,quick & easy,,,,Combine all ingredients and refrigerate for one hour prior to serving.,,"1 cup BUSHâ€™S<sup>Â®</sup> Black Beans, drained and rinsed","1 cup BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained and rinsed",1 cup diced red bell pepper,1/2 cup minced green onion,1/4 teaspoon cayenne pepper,2 tablespoons red wine vinegar,1 tablespoon lemon juice,2 tablespoons minced cilantro,,,,6 servings, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/216350.jpg,"Toss beans and peppers with a zippy cilantro dressing for a quick salad that tastes great with burgers, tacos, or grilled chicken.",Black and Pinto Bean Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,134,Sodium,265,Dietary Fiber,962,Protein,36,Sugars,7,Cholesterol,71,Total Carbs,13,,,,,,,,,,,,,,,,,,,,,,,,1638,,,,,,,,Adjust oven rack to center of oven; pre-heat oven to 350 degrees F. ,"Cleanout inside of chicken, rinse chicken inside and out with cold water. Pat dry with paper towel, set aside. ",5 lbs whole chicken,(For Stuffing):,1 green pasilla chile* ,1 jalapeÃ±o pepper* ,4 corn tortillas (6 inch),"1 can (15 ounces)		BUSHâ€™S<sup>Â®</sup> Black Beans or BUSHâ€™S<sup>Â®</sup> Reduced Sodium Black Beans, drained and rinsed ","Â_ 	cup			chicken stock","Â_ 	teaspoon 		smoked paprika","Â_	teaspoon		kosher salt",(For Chicken):,"1 	teaspoon 		kosher salt",6, 2   hours 10   Minutes, 1 hour 30   Minutes, 40   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/55c33747-d3e5-4663-b9c4-ccf69a56095a.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Beans exclusively by Chef Jeffrey Saad, culinary expert and television host of numerous food-and cooking-related shows.",Cumin Chicken with Black Bean Stuffing,"For Stuffing: Using metal tongs blacken chile and jalapeÃ±o peppers over open flame or on the top rack of an oven broiler for 10 minutes. When broiling, rotate chile and jalapeÃ±o after 5 minutes. Place chile and jalapeÃ±o in small bowl, cover with foil tightly. Let sit for 10 minutes. Once cool, wipe skin off (do not rinse under water). Discard stems. Discard seeds (unless you want it spicier). Chop chile and jalapeÃ±o into Â_-inch pieces. Set aside. ","1 	teaspoon 		ground pepper","1 	tablespoon 		cumin seed","Using metal tongs, place tortillas over open flame for 10-15 seconds on each side or until slightly charred. Chop tortillas into Â_-inch strips.","2 	teaspoons 		canola oil","3 	tablespoons 		agave syrup or honey","Â_  	cup 			fresh cilantro, chopped","6	wedges 		lime","Pour black beans in medium-sized pot. Add chile, jalapeÃ±o, tortillas, chicken stock, paprika and Â_ teaspoon salt. Heat just until mixture comes to a boil. Turn off heat.  ",Spoon mixture into chicken cavity. Tie chicken legs together with twine to seal cavity. Tie wings together (optional). ,"For Chicken: Season chicken with salt and pepper. Season chicken with cumin seeds, push seeds against skin. Lightly pat and cover chicken with oil.","Put chicken in roasting pan and place in pre-heated oven. Insert thermometer in thickest part of leg and stuffing to test the temperature. Bake until internal temperature reaches 155 degrees F, about 1 hour 15 minutes. ",(Additional Supplies: Aluminum foil; Twine),,,,Increase oven heat to 425 degrees F. Evenly coat chicken with agave syrup. Roast until golden brown or until internal temperature reaches 160 degrees F.,,"Remove chicken from oven, let rest for 10 minutes. ",Remove stuffing from inside chicken and place on platter. Carve chicken into desired portions. Garnish with cilantro and lime wedges.,,,,,,,,,,,,,,,,,,,
Total Fat,10g,Saturated Fat,2g,Sodium,1230mg,Carbohydrates,21g,Dietary Fiber,6g,Protein,10g,Sugars,3g,Vitamin C,1mg,Calcium,30mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,8mg,Folate,19mcg,Vitamin A - IU,247IU,Cholesterol,106mg,Potassium,104mg,88,212,BUSHâ€™SÂ® beans,party favs,quick & easy,,,,,"In a bowl, combine BUSHâ€™S<sup>Â®</sup> Mixed Beans, celery, olives, onion, salad dressing, salt and pepper; stir to combine. Add eggs; stir gently. Chill before serving.",,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Mixed Beans, rinsed and drained",1/2 cup chopped celery,1/3 cup sliced stuffed olives,1/4 cup chopped onion,1/3 cup Italian salad dressing,1/4 teaspoon salt,1/8 teaspoon cayenne pepper,"2 hard-cooked eggs, coarsely chopped",,,,4 servings, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146464.jpg,"With a variety of beans, this salad goes well as a side dish with meat, or on its own as a light summer snack.",Mixed Bean Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,3g,Sodium,828mg,Dietary Fiber,10g,Protein,12g,Cholesterol,8mg,Total Carbs,27g,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,Cook pasta according to package directions (reserving Â_ cup water).,"Heat oil in large sautÃ© pan.  Add onions and garlic.  When translucent, add red pepper flakes, spinach, BUSHâ€™S<sup>Â®</sup> Kidney Beans and reserved pasta water.  Simmer over medium heat until spinach is tender.  Add pasta, tomatoes, and parsley and combine.  Season with salt and pepper, if desired.  Sprinkle with cheese.  Serve warm.",8 ounces whole wheat pasta,Â_ cup water from cooking pasta,Â_ cup olive oil,"1 cup onion, thinly sliced","2 large garlic cloves, thinly sliced",1 teaspoon crushed red pepper flakes (or less to taste),"8 cups spinach (one 6-ounce bag fresh, pre-washed spinach)","1 can (16 ounces) BUSHâ€™S<sup>Â®</sup> Dark Red Kidney beans, drained and rinsed (or light red)","Â_ cup cherry tomatoes, cut in half","1 tablespoon fresh Parmesan, grated","1 tablespoon fresh parsley, chopped or 1 teaspoon dried parsley",6, 40   Minutes, 25   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/7ffed4a8-8680-423b-b212-f4cb17052a70.jpg,"This one-dish meal combines spinach and kidney beans in a spicy tomato sauce with whole wheat pasta, grated cheese, and fresh chopped parsley.",Mediterranean Pasta with Kidney Beans,,"Salt and pepper to taste, optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,22g,Sodium,1288mg,Dietary Fiber,5g,Protein,26g,Sugars,8g,Cholesterol,68mg,Total Carbs,54g,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,"In large bowl, combine ground beef, ground sausage, syrup and barbecue sauce. ","Using hands, divide mixture into 8 portions and form into burgers. Place on platter. ","1	pound			ground beef ","1	pound			ground sausage","Â_	cup			real maple syrup","Â_	cup			barbecue sauce","8	each			sandwich buns","1	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Onion Baked Beans","Optional Toppings:	Extra barbecue sauce, cheese, tomato slices, red onion, lettuce, mustard",,,,,8, 20   Minutes, 10   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/49ab80dc-60ed-4fa3-ba87-f4eb7813aae6.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Lynn Walls, author of cooking blog, â€œLynnâ€™s Kitchen Adventuresâ€ù (www.LynnsKitchenAdventures.com).",Maple Sausage Burgers,"Set clean, well-oiled grill to medium heat. When grill is hot, using spatula, place burgers on grill and cook   4-5 minutes. ",,,Carefully slide spatula under each burger and flip. Grill 4-5 minutes or until internal temperature is at least 145 degrees F.,,,,,"Using spatula, remove burgers from grill and place in buns. Add optional toppings, as desired. ",Serve with BUSHâ€™S Onion Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,34g,Sodium,2358mg,Dietary Fiber,11g,Protein,52g,Sugars,41g,Cholesterol,141mg,Total Carbs,78g,,,,,,,,,,,,,,,,,,,,,,,,819,bold recipes,,,,,,,"For Cumin Glaze: Place chili powder, raisins, salt, cumin, broth and sugar in food processor or blender. Blend until evenly mixed. (Note: There will be some pieces of raisins still visible.) Set aside.","For Pork Tenderloin: Using knife, remove silverskin (silvery-white appearance on length of tenderloin) from tenderloin and pat dry using paper towel. Season with salt and pepper. ",For Cumin Glaze:,1 tablespoon chili powder (or ancho chili powder)*,"1/4 cup  raisins, chopped",1 teaspoon salt,1 1/2 teaspoons ground cumin ,1/2 cup  chicken broth (or chicken stock),2 tablespoons light brown sugar,Pork Tenderloin:,1 1/4 pound  pork tenderloin,Salt and pepper,4 slices  thick bacon ,3, 45   Minutes, 20   Minutes, 25   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/b02fdae4-8465-4cb0-934c-c4d6e36c64e1.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Grillinâ€™ Beans<sup>Â®</sup> exclusively by Chef Jeffrey Saad, grilling expert, television host of numerous food-and cooking-related shows and author of the new cookbook, Jeffrey Saadâ€™s Global Kitchen: Recipes Without Borders. ",Bacon Wrapped Pork with Cumin Glaze,"Set one side of clean, well-oiled grill to medium-high heat and one side to low heat. (Note: If using charcoal grill, push coals to 1 side of grill.)",Wooden/metal skewers or toothpicks ,1 can (22 ounces) BUSHâ€™S<sup>Â®</sup> Bourbon & Brown Sugar Grillinâ€™ Beans<sup>Â®</sup> ,"When grill is hot, using tongs, place tenderloin on hotter side of grill. Cook 12 minutes, rotating every 3 minutes until dark grill marks appear.",,,,,"Using tongs, remove tenderloin from grill and place on platter. Let rest for 3 minutes. Keep grill settings on for later use.","Tightly wrap bacon around tenderloin one piece at a time (bacon should cover entire tenderloin). Place skewers or toothpicks in tenderloin to hold bacon in place. (Tip: If using wooden skewers or toothpicks, soak in water for at least 1 hour before use to prevent burning.)","Using tongs, gently place tenderloin on low heat side of grill. Cook 6 minutes, rotating every 2 minutes until bacon is golden brown and middle of tenderloin is at least 145 degrees F.","With basting brush, coat one side of tenderloin with Cumin Glaze and cook 30 seconds. Flip tenderloin using tongs. Coat second side of tenderloin with glaze and cook 30 seconds. Set remaining glaze aside. ",,,,,"Using tongs, remove tenderloin from grill and place on platter. Spoon remaining glaze on tenderloin (all sides). Let rest for 10 minutes before slicing.",,Serve with BUSHâ€™S Bourbon and Brown Sugar Grillinâ€™ Beans.,,,,,,,,,,,,,,,,,,,,
Total Fat,2g,Saturated Fat,0g,Sodium,1900mg,Carbohydrates,66g,Dietary Fiber,7g,Protein,38g,Sugars,6g,Vitamin C,70mg,Calcium,22mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,18mg,Vitamin B6,1mg,Magnesium,38mg,Folate,16mcg,Vitamin A - IU,2261IU,Cholesterol,66mg,Potassium,385mg,17,439,black beans,chicken,grilling,BUSHâ€™SÂ® beans,,,,"Marinate chicken in Teriyaki Marinade and Sauce 30 minutes, turning chicken over several times.","Meanwhile, prepare rice according to package directions; wait to drain to keep hot. Thoroughly cook chicken on grill 4 to 5 inches from hot coals about 5 minutes on each side, brushing occasionally with additional teriyaki sauce. Cut chicken into slices; keep warm.","4 (4 ounce) boneless, skinless chicken breast halves",1/2 cup Kikkoman Teriyaki Marinade & Sauce,2 (7 ounce) packages SUCCESS<sup>Â®</sup> White Rice,1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans,1 1/2 tablespoons fresh lime juice,1/2 teaspoon onion salt,1 cup diced red bell pepper,3 tablespoons minced fresh parsley,"Black pepper, to taste",,,4 servings, 55   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146448.jpg,This mix of black beans and teriyaki chicken served over white rice is great for lunch.,Teriyaki Chicken and Black Bean Rice Bowl,"Reserving 1/3 cup liquid, drain beans. Blend liquid with lime juice and onion salt; combine with drained rice, beans, bell pepper and parsley. Divide mixture into 4 serving bowls. Sprinkle with black pepper and top with chicken slices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,17g,Saturated Fat,6g,Sodium,1386mg,Carbohydrates,58g,Dietary Fiber,7g,Protein,35g,Sugars,11g,Vitamin C,11mg,Calcium,120mg,Iron,6mg,Thiamin,1mg,Niacin Equivalents,12mg,Vitamin B6,0mg,Magnesium,22mg,Folate,63mcg,Vitamin A - IU,916IU,Cholesterol,81mg,Potassium,671mg,149,534,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Prepare macaroni as directed. In skillet, brown ground beef with onion and drain. Add BUSHâ€™S<sup>Â®</sup> Chili Magic and diced tomatoes. Simmer. Combine macaroni with Chili Magic mixture and serve.",,"1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter, any style",1 (7.25 ounce) package macaroni and cheese mix,1 pound lean ground beef,1 cup chopped onion (optional),1 (15 ounce) can diced tomatoes (optional),,,,,,,4 servings, 25   Minutes, 20   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,Magic truly happens when chili and macaroni and cheese team up in this quick and easy dinner.,Chili Cheeseburger Magicroni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,17g,Sodium,785mg,Carbohydrates,26g,Dietary Fiber,8g,Protein,43g,Cholesterol,125mg,,,,,,,,,,,,,,,,,,,,,,,,,,444,Family Inspired,BUSH'S,special,great northern beans,,,,"Heat oil in a 10-inch skillet over medium-high heat. Brown chicken with bacon, garlic and rosemary. ","Combine skillet mixture (with pan juices) in slow cooker with onion, carrot and celery. Add beans, chicken stock and tomatoes.",1 teaspoon olive oil,"6-8 boneless, skinless chicken thighs (about 1 1/2 pounds)","1 slice bacon, cut into 1/4-inch pieces","1 clove garlic, chopped",1/2 teaspoon dried rosemary,"1 small onion, chopped","2 medium carrots, peeled and thickly sliced","2 ribs celery, thickly sliced","1 (15.8 ounce) can BUSHâ€™S<sup>Â®</sup> Great Northern Beans, drained",1 cup chicken stock ,"1 (10 ounce) can diced tomatoes, undrained ",4, 4   hours 15   Minutes, 4   hours, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/e4e6fc86-a7e2-4dd5-8d42-46f3fb287f67.jpg,A little bit of bacon goes a long way to add just a hint of smoke to this comforting dish.,Tuscan Chicken and White Beans,Cover and cook 4-5 hours on low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,3g,Sodium,449mg,Dietary Fiber,9g,Protein,13g,Cholesterol,8mg,Total Carbs,28g,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,"In Dutch oven or large pot, fry bacon until crisp.  Remove bacon and cook garlic, onion, carrots and celery in hot bacon drippings.  Add beans and chicken broth to vegetables.  Heat until simmering.  Crumble bacon.  Add pepper, cumin, and crumbled bacon to soup mixture.  Serve hot.",,5 slices bacon,"2 cloves garlic, minced","1 onion, chopped","2 carrots, thinly sliced","4 stalks celery, thinly sliced",3 cans (16 ounces) BUSHâ€™S<sup>Â®</sup> White Beans,2 cans (16 ounces) reduced sodium chicken broth,1 teaspoon black pepper,1 teaspoon cumin,,,8, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/1475b6e1-c7c3-4910-b2bc-0b6895703d3a.jpg,"White beans are simmered with onion, carrots, and celery in a rich broth with bacon.",White Bean Soup with Bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,17g,Saturated Fat,5g,Sodium,928mg,Carbohydrates,52g,Dietary Fiber,7g,Protein,27g,Sugars,3g,Vitamin C,8mg,Calcium,188mg,Iron,4mg,Thiamin,0mg,Niacin Equivalents,15mg,Vitamin B6,0mg,Magnesium,41mg,Folate,118mcg,Vitamin A - IU,4550IU,Cholesterol,54mg,Potassium,401mg,154,483,pinto,BUSHâ€™SÂ® beans,,,,,,"Heat the oven to 350 degrees F. Place the chicken in an 8 x 8-inch baking dish, drizzle with the olive oil, Italian seasoning, salt and pepper and bake until cooked through and no longer pink, about 35 minutes.  Remove from oven, let cool, and cut into 1/2-inch pieces (this will yield about 2 1/2 cups).","Place the cooked chicken, beans, carrots, cucumber, lettuce, cheese, salad dressing, and dill as desired in a large bowl. Stir to combine.","1 pound boneless, skinless chicken breast halves",1 teaspoon olive oil,1/4 teaspoon dried Italian seasoning,1/8 teaspoon salt,1/8 teaspoon pepper,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans or Cannellini Beans, drained and rinsed",1 cup shredded carrots,"1 cup diced, peeled, seeded cucumber",2 1/2 cups coarsely chopped romaine lettuce,1/2 cup crumbled feta cheese,1/3 cup light Caesar salad dressing,6 servings, 50   Minutes, 35   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/208489.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Liz Weiss, registered dietitian, co-founder of the family-friendly food blog, Meal Makeover Moms' Kitchen at MealMakeoverMoms.com/kitchen, Kiwi magazine freelance writer, and mom.",Chicken Caesar Wraps,"Arrange the mixture evenly down the center of each tortilla. Roll up tightly burrito style, slice in half, and serve.",1 tablespoon chopped fresh dill (optional),6 (10 inch) flour tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,55g,Saturated Fat,20g,Sodium,1916mg,Carbohydrates,144g,Dietary Fiber,21g,Protein,47g,Sugars,69g,Calcium,71mg,Iron,4mg,Thiamin,1mg,Niacin Equivalents,11mg,Vitamin B6,1mg,Magnesium,71mg,Folate,76mcg,Trans Fat,316IU,Vitamin A - IU,166mg,Cholesterol,128mg,Potassium,857mg,495,1220,grilling,BUSHâ€™SÂ® beans,party favs,,,,,Place a cast iron skillet over a hot grill and add onion and butter. Saute onion until slightly browned. Remove onion from pan and set aside.,"Add bacon to empty skillet on hot grill and cook until crisp. Remove bacon, drain on paper towel, and then chop into 1-inch pieces. Pour out half of the bacon fat, retaining rest in pan.","1 cup chopped sweet onion, such as Vidalia",1 tablespoon butter,1/2 pound smoked bacon,"1 pound beef chuck steak, cut into 1-inch pieces",2 (28 ounce) cans BUSHâ€™S<sup>Â®</sup> Boston Recipe Baked Beans,"1 whole pineapple, stem and leaves left on","Sour cream, for garnish",,,,,4 servings, 40   Minutes, 15   Minutes, 25   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146426.jpg,"This beautiful pineapple stuffed with onions, bacon and baked beans will impress your guests or family!",Tropical Beans in a Boat,Add chuck steak to skillet and brown meat thoroughly. When meat is cooked add bacon and stir well. Mix in beans and onion. Place skillet on grill over indirect heat until mixture boils.,,,Cut pineapple in half vertically keeping leaves attached. Lay pineapple on round side. Remove pineapple with sharp knife or grapefruit spoon leaving 1/2 inch at bottom and sides of pineapple. Chop scooped out pineapple into squares.,,,,,"When ready to serve, gently fold 1 cup pineapple into bean mixture. Divide mixture evenly between pineapple halves.",Garnish with remaining chopped pineapple and dollop of sour cream.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,78g,Sodium,2084mg,Dietary Fiber,9g,Protein,26g,Sugars,15g,Cholesterol,87mg,Total Carbs,40g,,,,,,,,,,,,,,,,,,,,,,,,956,,,,,,,,Place steaks on platter and season both sides with salt and pepper. ,"Set clean, well-oiled grill to medium high heat. When grill is hot, using tongs, place steaks on grill and cook 2-3 minutes.","6	each (5 ounces)		filet mignon or steak of choice, Â_-inch thick",Salt and pepper ,"Â_ 	stick			butter","6	each			sandwich buns or rolls","1 	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Onion Baked Beans ","Optional Toppings: 		Sliced hardboiled or fried eggs, fried bacon, ham, sautÃ©ed yellow onions, sliced roasted red peppers, chopped green olives, tomato slices, mozzarella cheese, lettuce, mayonnaise ",,,,,,6, 11   Minutes, 6   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/2423ad69-8ee4-4619-99f0-2a4049bd8884.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Piera Jolly, author of cooking blog, â€œJolly Momâ€ù (www.JollyMom.com). ",BUSHâ€™S<sup>Â®</sup> Best Sandwich. Ever. Chivitos al Pan,"Flip steaks using tongs and top each steak with small pat of butter using knife (about Â_ tablespoon). Cook 2-3 minutes or until internal temperature is at least 145 degrees F. If using cheese, place on steak and cook until melted.",,,"Using tongs, remove steaks from grill and place in buns or rolls. Add optional toppings, as desired.",,,,,Serve with BUSHâ€™S Onion Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,23g,Sodium,1216mg,Dietary Fiber,11g,Protein,25g,Sugars,15g,Cholesterol,112mg,Total Carbs,55g,,,,,,,,,,,,,,,,,,,,,,,,503,Family Inspired,BUSH'S,special,red beans,,,,"Heat oil in a 4-quart saucepot over medium heat. Cook garlic, onion and peppers about 2 minutes. Add ginger; stir to coat vegetables evenly. ",Add tomato and plantain (or potato if using). Simmer 3 minutes. ,2 tablespoons olive oil ,"3 cloves garlic, chopped ","1 large onion, chopped ","1/2 cup green bell pepper, chopped ","1/2 cup yellow bell pepper, chopped ",2 teaspoons ground ginger,"1 1/2 pounds fresh tomatoes, cored and diced","2 yellow plantains or 2 russet potatoes, peeled and cut into 1/2 inch cubes ","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Red Beans, drained ","1 (15 ounce) can corn, drained ",6 cups chicken broth,8, 50   Minutes, 30   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/0cf4dc0d-24ff-4fa3-8b19-18b30c1adc0a.jpg,"This creamy tomato- and coconut-based soup simmers with plantains, red beans, corn, bell peppers, and fresh herbs, and can be served hot or cold.",Brazilian Corn and Coconut Chowder,"Add beans, corn, broth, coconut milk and whole or skim milk. Cover; return to simmer. Cook until vegetables soften, about 20 minutes. ",1 (13.5) ounce) can unsweetened coconut milk ,"1/2 cup milk, whole or skim ",Stir in cream and return to simmer; cook 5 minutes more. (Do not boil.),1/2 cup heavy whipping cream,"1/2 cup fresh cilantro, finely chopped","1/4 cup fresh parsley, finely chopped","1 green onion, chopped ","Stir in cilantro, parsley, green onion and lime juice. Season with salt, pepper and red pepper flakes to taste. Serve hot or cold.","Optional: If adding shrimp, divide evenly and ladle finished soup over top. ",,,"2 limes, juiced ",1/4 teaspoon crushed red pepper flakes,salt and pepper,Optional: 1 pound cooked and peeled shrimp,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,23g,Sodium,1216mg,Dietary Fiber,11g,Protein,25g,Sugars,15g,Cholesterol,112mg,Total Carbs,55g,,,,,,,,,,,,,,,,,,,,,,,,503,Family Inspired,BUSH'S,special,red beans,,,,"Heat oil in a 4-quart saucepot over medium heat. Cook garlic, onion and peppers about 2 minutes. Add ginger; stir to coat vegetables evenly. ",Add tomato and plantain (or potato if using). Simmer 3 minutes. ,2 tablespoons olive oil ,"3 cloves garlic, chopped ","1 large onion, chopped ","1/2 cup green bell pepper, chopped ","1/2 cup yellow bell pepper, chopped ",2 teaspoons ground ginger,"1 1/2 pounds fresh tomatoes, cored and diced","2 yellow plantains or 2 russet potatoes, peeled and cut into 1/2 inch cubes ","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Red Beans, drained ","1 (15 ounce) can corn, drained ",6 cups chicken broth,8, 50   Minutes, 30   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/0cf4dc0d-24ff-4fa3-8b19-18b30c1adc0a.jpg,"This creamy tomato- and coconut-based soup simmers with plantains, red beans, corn, bell peppers, and fresh herbs, and can be served hot or cold.",Brazilian Corn and Coconut Chowder,"Add beans, corn, broth, coconut milk and whole or skim milk. Cover; return to simmer. Cook until vegetables soften, about 20 minutes. ",1 (13.5) ounce) can unsweetened coconut milk ,"1/2 cup milk, whole or skim ",Stir in cream and return to simmer; cook 5 minutes more. (Do not boil.),1/2 cup heavy whipping cream,"1/2 cup fresh cilantro, finely chopped","1/4 cup fresh parsley, finely chopped","1 green onion, chopped ","Stir in cilantro, parsley, green onion and lime juice. Season with salt, pepper and red pepper flakes to taste. Serve hot or cold.","Optional: If adding shrimp, divide evenly and ladle finished soup over top. ",,,"2 limes, juiced ",1/4 teaspoon crushed red pepper flakes,salt and pepper,Optional: 1 pound cooked and peeled shrimp,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,16g,Saturated Fat,5g,Sodium,1199mg,Carbohydrates,73g,Dietary Fiber,10g,Protein,28g,Sugars,2g,Vitamin C,2mg,Calcium,135mg,Iron,5mg,Thiamin,1mg,Niacin Equivalents,9mg,Vitamin B6,0mg,Magnesium,36mg,Folate,109mcg,Vitamin A - IU,87IU,Cholesterol,40mg,Potassium,337mg,140,558,grilling,BUSHâ€™SÂ® beans,,,,,,"Grill steak to desired doneness and cut into 1/2-inch thick slices. Keep warm. Heat chili beans in medium saucepan until hot. Spoon about 1/3 cup of BUSHâ€™S<sup>Â®</sup> Chili Beans in middle of tortilla. Top with some of the sliced meat, pineapple and green onions.",,"1 pound boneless top sirloin*, 3/4 to 1-inch thick","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Chili Beans; mild, medium or hot, slightly drained",8 medium soft flour tortillas,1 cup diced fresh pineapple,1/2 cup chopped green onions or cilantro,,,,,,,6 servings, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63861.jpg,Fresh pineapple adds a refreshing taste to traditional steak tacos.,Hawaiian Soft Tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
